customer_id,intent_score,conversion_probability,churn_risk,fatigue_score,journey_stage,preferred_channel,recommended_action,channel_used,converted
CUST_E3D4EBBE,100,0.698,72.0,10,High Intent,push,send_coupon,push,True
CUST_FDA7DE19,10,0.0,70.0,100,Churn Risk,push,do_nothing,none,False
CUST_9C916C23,100,0.713,57.0,10,Loyal,whatsapp,send_whatsapp,whatsapp,True
CUST_A28ED8B7,10,0.0,70.0,100,Dormant,email,do_nothing,none,False
CUST_900983AF,45,0.378,62.0,10,Anonymous,email,send_whatsapp,whatsapp,False
CUST_343B6A8E,100,0.703,67.0,10,Loyal,email,send_coupon,email,True
CUST_4E144664,85,0.623,57.0,10,Loyal,email,send_coupon,email,True
CUST_31BD9D1C,70,0.518,72.0,10,Anonymous,email,send_coupon,email,False
CUST_6751D2C2,100,0.708,62.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_C17B01C9,100,0.71,90.0,0,Interested,push,send_coupon,push,True
CUST_33417744,10,0.034,61.0,55,Dormant,sms,wait,none,False
CUST_A4882A26,30,0.298,52.0,10,Browsing,whatsapp,recommend_products,none,False
CUST_97CE52FE,100,0.698,72.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_723D9DCA,90,0.668,42.0,10,High Intent,whatsapp,send_whatsapp,whatsapp,True
CUST_22F4550D,30,0.288,62.0,10,Cart Active,sms,send_whatsapp,whatsapp,False
CUST_AC45C3AC,50,0.418,52.0,10,Browsing,whatsapp,recommend_products,none,False
CUST_9D82044A,10,0.0,70.0,100,Dormant,email,do_nothing,none,False
CUST_D78DFB60,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_E1941A92,55,0.438,62.0,10,Browsing,sms,send_whatsapp,whatsapp,False
CUST_5F4302E5,100,0.71,90.0,0,Interested,sms,send_email,email,True
CUST_B649101A,100,0.7,100.0,0,Interested,sms,send_coupon,sms,True
CUST_6331FF0E,40,0.358,52.0,10,Anonymous,push,send_coupon,push,False
CUST_587CCF42,50,0.398,72.0,10,Cart Active,whatsapp,send_whatsapp,whatsapp,False
CUST_71A33694,10,0.034,61.0,55,Dormant,push,wait,none,False
CUST_D638B75A,100,0.713,57.0,10,Loyal,sms,send_coupon,sms,True
CUST_84AFDD9D,60,0.5,60.0,0,Interested,push,send_whatsapp,whatsapp,True
CUST_2E47009A,100,0.71,90.0,0,Interested,whatsapp,send_coupon,whatsapp,True
CUST_4B612D8F,100,0.703,67.0,10,Loyal,email,send_coupon,email,True
CUST_BE2277F0,90,0.618,92.0,10,Interested,sms,send_coupon,sms,False
CUST_9069B465,100,0.72,80.0,0,Interested,sms,send_coupon,sms,True
CUST_98B23C4C,100,0.72,80.0,0,Cart Active,whatsapp,send_coupon,whatsapp,True
CUST_3B99A0E9,55,0.438,62.0,10,Anonymous,email,send_whatsapp,whatsapp,False
CUST_C05261E1,10,0.0,70.0,100,Churn Risk,push,do_nothing,none,False
CUST_81368C3D,100,0.71,90.0,0,Cart Active,email,send_coupon,email,True
CUST_C5157150,100,0.728,42.0,10,Loyal,push,send_coupon,push,True
CUST_9EE0F949,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_0C131128,100,0.708,62.0,10,High Intent,sms,send_coupon,sms,True
CUST_19443392,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_4B8AC103,90,0.638,72.0,10,Anonymous,sms,send_coupon,sms,False
CUST_35397777,10,0.034,61.0,55,Dormant,sms,wait,none,False
CUST_64033C5A,20,0.238,52.0,10,Browsing,email,recommend_products,none,False
CUST_08231C37,80,0.578,72.0,10,Loyal,whatsapp,send_coupon,whatsapp,True
CUST_8CF33D3F,30,0.288,62.0,10,Interested,email,send_whatsapp,whatsapp,False
CUST_FEE1B459,100,0.683,87.0,10,Loyal,push,send_coupon,push,True
CUST_5FDCDBF4,10,0.0,70.0,100,Churn Risk,sms,do_nothing,none,False
CUST_F51BBC07,90,0.618,92.0,10,Cart Active,email,send_coupon,email,False
CUST_A8E1CF2E,30,0.288,62.0,10,Interested,push,send_whatsapp,whatsapp,False
CUST_4A676D67,40,0.358,52.0,10,Browsing,email,recommend_products,none,False
CUST_15D8CF8B,100,0.703,67.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_061CE91D,80,0.578,72.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_028DF181,100,0.7,100.0,0,Cart Active,whatsapp,recommend_products,none,True
CUST_E5EA6B2C,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_AA697B89,40,0.358,52.0,10,Browsing,email,recommend_products,none,False
CUST_D7A95C5D,10,0.0,70.0,100,Churn Risk,email,do_nothing,none,False
CUST_8EFCCF3E,10,0.0,70.0,100,Dormant,push,do_nothing,none,False
CUST_F1A59277,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_5E319C4D,100,0.698,72.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_E259BC38,10,0.0,70.0,100,Churn Risk,sms,do_nothing,none,False
CUST_10DF13DD,50,0.398,72.0,10,Cart Active,whatsapp,send_whatsapp,whatsapp,False
CUST_75F4F3CA,40,0.358,52.0,10,Browsing,sms,recommend_products,none,False
CUST_E4288431,75,0.558,62.0,10,Anonymous,whatsapp,send_coupon,whatsapp,False
CUST_67EE3FB6,10,0.0,70.0,100,Dormant,sms,do_nothing,none,False
CUST_B23B0C5B,90,0.618,92.0,10,Cart Active,email,send_coupon,email,False
CUST_79684223,80,0.61,70.0,0,Interested,sms,send_coupon,sms,True
CUST_D1A85883,50,0.398,72.0,10,Interested,sms,send_whatsapp,whatsapp,False
CUST_DE7BEBBA,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_DECDBB22,100,0.718,52.0,10,High Intent,sms,send_coupon,sms,True
CUST_CBC3BAEB,100,0.693,77.0,10,Loyal,whatsapp,send_coupon,whatsapp,True
CUST_B1384C12,100,0.72,80.0,0,Cart Active,whatsapp,send_coupon,whatsapp,True
CUST_1C71AE11,85,0.623,57.0,10,Loyal,email,send_coupon,email,True
CUST_3DDCEA6F,80,0.61,70.0,0,Interested,email,loyalty_reward,none,True
CUST_48D454C1,85,0.623,57.0,10,High Intent,sms,send_coupon,sms,True
CUST_FE3A26F2,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_745D0AF1,90,0.618,92.0,10,Interested,email,wait,none,False
CUST_8F618114,100,0.718,52.0,10,Loyal,sms,send_coupon,sms,True
CUST_AA76100A,65,0.498,62.0,10,Browsing,sms,send_coupon,sms,False
CUST_996223F2,10,0.0,70.0,100,Churn Risk,email,do_nothing,none,False
CUST_58915F08,60,0.7326,62.0,10,High Intent,whatsapp,send_whatsapp,whatsapp,True
CUST_4A6DBB54,80,0.61,70.0,0,Cart Active,sms,send_coupon,sms,True
CUST_8740AB12,40,0.358,52.0,10,Browsing,sms,recommend_products,none,False
CUST_9DC5D903,60,0.8533,62.0,10,Loyal,email,send_whatsapp,whatsapp,True
CUST_2FA71D0D,40,0.358,52.0,10,Anonymous,whatsapp,wait,none,False
CUST_079E274E,30,0.298,52.0,10,Anonymous,whatsapp,wait,none,False
CUST_7A4CA5C1,100,0.67,100.0,10,Interested,whatsapp,send_coupon,whatsapp,False
CUST_0C263DCF,10,0.034,61.0,55,Churn Risk,whatsapp,wait,none,False
CUST_DACF0911,10,0.034,61.0,55,Churn Risk,email,wait,none,False
CUST_38C943B9,50,0.418,52.0,10,Browsing,push,recommend_products,none,False
CUST_9CFE1314,100,0.718,52.0,10,Loyal,whatsapp,send_coupon,whatsapp,True
CUST_1A657E85,100,0.72,80.0,0,Cart Active,sms,send_coupon,sms,True
CUST_DDA324D3,70,0.508,82.0,10,Interested,email,send_coupon,email,False
CUST_8C94F6C3,65,0.513,47.0,10,High Intent,whatsapp,send_whatsapp,whatsapp,True
CUST_CE3A6EF3,100,0.67,100.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_877C104A,100,0.72,80.0,0,Interested,email,send_coupon,email,True
CUST_7535DF38,100,0.71,90.0,0,Cart Active,email,send_coupon,email,True
CUST_ACCFCF3B,100,0.688,82.0,10,High Intent,push,send_coupon,push,True
CUST_790591B1,20,0.238,52.0,10,Anonymous,push,wait,none,False
CUST_CC2CEE0A,60,0.6217,62.0,10,Loyal,whatsapp,send_whatsapp,whatsapp,True
CUST_7E8D349A,50,0.418,52.0,10,Anonymous,email,wait,none,False
CUST_1EF11355,10,0.0,70.0,100,Churn Risk,email,do_nothing,none,False
CUST_6E7D7A10,20,0.238,52.0,10,Browsing,whatsapp,recommend_products,none,False
CUST_EB2B5B57,50,0.418,52.0,10,Anonymous,push,wait,none,False
CUST_8E0667CE,10,0.0,70.0,100,Churn Risk,email,do_nothing,none,False
CUST_50D1ADC1,55,0.438,62.0,10,Anonymous,whatsapp,send_whatsapp,whatsapp,False
CUST_5D420B03,30,0.288,62.0,10,Interested,whatsapp,recommend_products,none,False
CUST_DE2C207D,100,0.693,77.0,10,Loyal,whatsapp,send_coupon,whatsapp,True
CUST_1749A777,100,0.72,80.0,0,Interested,sms,send_coupon,sms,True
CUST_04D43A98,40,0.358,52.0,10,Browsing,whatsapp,recommend_products,none,False
CUST_F5917397,100,0.7,100.0,0,Cart Active,email,send_coupon,email,True
CUST_A46C2B22,10,0.0,70.0,100,Dormant,email,do_nothing,none,False
CUST_EB553367,80,0.578,72.0,10,Loyal,sms,send_coupon,sms,True
CUST_66BD2CF3,10,0.034,61.0,55,Dormant,whatsapp,recommend_products,none,False
CUST_53636173,100,0.7,100.0,0,Interested,whatsapp,send_coupon,whatsapp,True
CUST_3B00B30E,10,0.0,70.0,100,Churn Risk,email,do_nothing,none,False
CUST_45E3E33F,100,0.693,77.0,10,Loyal,push,send_coupon,push,True
CUST_926AA93D,50,0.418,52.0,10,Anonymous,sms,wait,none,False
CUST_3298FAEB,30,0.288,62.0,10,Interested,sms,send_whatsapp,whatsapp,False
CUST_EFC2D016,10,0.0,70.0,100,Dormant,push,do_nothing,none,False
CUST_09AE2702,75,0.558,62.0,10,Browsing,whatsapp,send_coupon,whatsapp,False
CUST_0518E45B,45,0.378,62.0,10,Browsing,email,send_whatsapp,whatsapp,False
CUST_705791DA,85,0.623,57.0,10,High Intent,sms,send_coupon,sms,True
CUST_8B1D85C9,30,0.288,62.0,10,Interested,sms,send_whatsapp,whatsapp,False
CUST_5FF49FA1,100,0.723,47.0,10,High Intent,push,send_coupon,push,True
CUST_615278FE,10,0.034,61.0,55,Churn Risk,whatsapp,wait,none,False
CUST_4FBCBBCA,100,0.72,80.0,0,Cart Active,email,send_coupon,email,True
CUST_DA88C386,10,0.034,61.0,55,Churn Risk,push,wait,none,False
CUST_E9162E8B,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_101DB21C,30,0.298,52.0,10,Browsing,whatsapp,recommend_products,none,False
CUST_EA2F4359,100,0.718,52.0,10,Loyal,email,send_coupon,email,True
CUST_A0578F65,50,0.418,52.0,10,Browsing,email,recommend_products,none,False
CUST_DEA41107,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_AE5D913C,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_38E8F4D6,75,0.558,62.0,10,Anonymous,email,do_nothing,none,False
CUST_1FA0B7DE,10,0.034,61.0,55,Dormant,whatsapp,wait,none,False
CUST_3B22D7B6,75,0.558,62.0,10,Anonymous,sms,send_coupon,sms,False
CUST_6B7F538D,10,0.0,70.0,100,Churn Risk,email,do_nothing,none,False
CUST_47B5FAF8,100,0.72,80.0,0,Interested,sms,send_coupon,sms,True
CUST_3B77AE1A,30,0.288,62.0,10,Cart Active,email,send_whatsapp,whatsapp,False
CUST_DDAA8F46,10,0.034,61.0,55,Dormant,push,wait,none,False
CUST_4B8AA7C9,100,0.703,67.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_B4909F1A,10,0.0,70.0,100,Churn Risk,sms,do_nothing,none,False
CUST_AAC06769,50,0.418,52.0,10,Anonymous,push,wait,none,False
CUST_BC3F55D5,65,0.498,62.0,10,Browsing,email,send_coupon,email,False
CUST_19D5B925,50,0.418,52.0,10,Anonymous,whatsapp,wait,none,False
CUST_F2902C84,10,0.0,70.0,100,Dormant,email,do_nothing,none,False
CUST_BCEFD4B6,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_EB6FCAAE,85,0.623,57.0,10,High Intent,sms,send_coupon,sms,True
CUST_C967E53B,10,0.0,70.0,100,Dormant,email,wait,none,False
CUST_40FB09E6,100,0.698,72.0,10,Loyal,email,send_coupon,email,True
CUST_05F012AB,40,0.358,52.0,10,Browsing,sms,recommend_products,none,False
CUST_62EB54DD,60,0.478,52.0,10,Anonymous,email,send_email,email,False
CUST_17E45CFF,100,0.688,82.0,10,Browsing,whatsapp,send_coupon,whatsapp,False
CUST_85984E7D,55,0.438,62.0,10,Browsing,whatsapp,send_whatsapp,whatsapp,False
CUST_CA4E5197,80,0.61,70.0,0,Cart Active,email,send_coupon,email,True
CUST_A56D509F,30,0.298,52.0,10,Anonymous,whatsapp,wait,none,False
CUST_34876524,10,0.034,61.0,55,Churn Risk,sms,wait,none,False
CUST_529191E2,60,0.7214,62.0,10,Loyal,email,send_whatsapp,whatsapp,True
CUST_24B0315E,100,0.703,67.0,10,High Intent,push,send_coupon,push,True
CUST_6EBB7C65,65,0.513,47.0,10,High Intent,whatsapp,send_whatsapp,whatsapp,True
CUST_4B34FA4C,75,0.558,62.0,10,Browsing,sms,send_coupon,sms,False
CUST_CCF4473E,10,0.0,70.0,100,Dormant,push,do_nothing,none,False
CUST_66704680,100,0.72,80.0,0,Interested,push,send_coupon,push,True
CUST_9F5AF1B4,55,0.438,62.0,10,Anonymous,email,send_whatsapp,whatsapp,False
CUST_B6BFC136,30,0.298,52.0,10,Anonymous,email,wait,none,False
CUST_3D58EB70,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_E2391426,100,0.713,57.0,10,High Intent,sms,send_coupon,sms,True
CUST_FF48FB57,100,0.698,72.0,10,High Intent,email,send_coupon,email,True
CUST_0D5966DB,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_C5943693,70,0.508,82.0,10,Interested,whatsapp,send_coupon,whatsapp,False
CUST_5E4E88D4,100,0.7,100.0,0,Interested,push,send_coupon,push,True
CUST_63DB733C,10,0.0,70.0,100,Dormant,sms,do_nothing,none,False
CUST_85D20005,20,0.238,52.0,10,Browsing,email,recommend_products,none,False
CUST_A95EB599,50,0.398,72.0,10,Cart Active,email,send_whatsapp,whatsapp,False
CUST_D380949A,45,0.378,62.0,10,Anonymous,push,send_whatsapp,whatsapp,False
CUST_12C6D82F,100,0.7,100.0,0,Cart Active,push,send_coupon,push,True
CUST_F617AAB8,100,0.683,87.0,10,Loyal,sms,send_coupon,sms,True
CUST_EACDCB8F,100,0.713,57.0,10,Loyal,push,send_coupon,push,True
CUST_3E4E7988,70,0.508,82.0,10,Cart Active,push,send_coupon,push,False
CUST_F1B72375,30,0.288,62.0,10,Interested,push,send_whatsapp,whatsapp,False
CUST_4456FF3A,65,0.498,62.0,10,Anonymous,whatsapp,send_coupon,whatsapp,False
CUST_3EEB5BD5,30,0.288,62.0,10,Cart Active,whatsapp,send_whatsapp,whatsapp,False
CUST_68AD3E36,10,0.0,70.0,100,Churn Risk,sms,do_nothing,none,False
CUST_D6AD16EF,100,0.7,100.0,0,Cart Active,whatsapp,send_coupon,whatsapp,True
CUST_08C4C971,50,0.418,52.0,10,Anonymous,email,wait,none,False
CUST_008A2B5A,30,0.298,52.0,10,Anonymous,push,wait,none,False
CUST_AFA1A280,10,0.0,70.0,100,Dormant,email,do_nothing,none,False
CUST_347B3E0F,100,0.72,80.0,0,Interested,sms,send_coupon,sms,True
CUST_CAAAF0E2,100,0.71,90.0,0,Cart Active,whatsapp,send_coupon,whatsapp,True
CUST_FCB4B49A,10,0.0,70.0,100,Dormant,sms,do_nothing,none,False
CUST_D86EB996,10,0.0,70.0,100,Dormant,push,do_nothing,none,False
CUST_E21A7769,85,0.623,57.0,10,High Intent,push,send_coupon,push,True
CUST_2810A1B5,100,0.698,72.0,10,Loyal,email,wait,none,True
CUST_C8BBBA8B,60,0.7271,62.0,10,Loyal,whatsapp,send_whatsapp,whatsapp,True
CUST_E110222E,10,0.034,61.0,55,Churn Risk,email,wait,none,False
CUST_960A76FC,100,0.688,82.0,10,High Intent,push,send_coupon,push,True
CUST_8ED17183,35,0.318,62.0,10,Browsing,whatsapp,send_whatsapp,whatsapp,False
CUST_BB95004D,30,0.288,62.0,10,Interested,sms,send_whatsapp,whatsapp,False
CUST_D8BE749D,60,0.854,62.0,10,High Intent,whatsapp,send_whatsapp,whatsapp,True
CUST_6CB57608,65,0.498,62.0,10,Anonymous,sms,send_coupon,sms,False
CUST_26E1B0EB,10,0.034,61.0,55,Dormant,whatsapp,wait,none,False
CUST_8C56898E,65,0.513,47.0,10,Loyal,whatsapp,loyalty_reward,none,True
CUST_694440B5,10,0.0,70.0,100,Dormant,email,do_nothing,none,False
CUST_F8C7266D,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_8F64453D,100,0.728,42.0,10,High Intent,sms,send_coupon,sms,True
CUST_4B2F1384,10,0.0,70.0,100,Churn Risk,push,do_nothing,none,False
CUST_D91D0369,90,0.618,92.0,10,Cart Active,push,send_coupon,push,False
CUST_71A2934A,100,0.688,82.0,10,High Intent,whatsapp,send_coupon,whatsapp,True
CUST_FB2D4E5B,100,0.67,100.0,10,Loyal,push,send_coupon,push,True
CUST_CD59B969,80,0.61,70.0,0,Interested,push,send_coupon,push,True
CUST_34F50D39,55,0.438,62.0,10,Anonymous,whatsapp,send_whatsapp,whatsapp,False
CUST_CEDB7614,100,0.71,90.0,0,Interested,push,send_coupon,push,True
CUST_6703F9EC,50,0.398,72.0,10,Cart Active,email,send_whatsapp,whatsapp,False
CUST_E7FDF8E3,60,0.478,52.0,10,Anonymous,sms,send_email,email,False
CUST_B3CC624F,100,0.683,87.0,10,Loyal,push,send_coupon,push,True
CUST_13BCF28C,10,0.0,70.0,100,Churn Risk,email,do_nothing,none,False
CUST_8356E3B7,65,0.513,47.0,10,High Intent,whatsapp,send_whatsapp,whatsapp,True
CUST_9FEEEC4A,10,0.034,61.0,55,Dormant,push,wait,none,False
CUST_852D59DB,65,0.513,47.0,10,High Intent,whatsapp,send_whatsapp,whatsapp,True
CUST_ED659A81,45,0.378,62.0,10,Browsing,whatsapp,send_whatsapp,whatsapp,False
CUST_A618E3BA,60,0.5,60.0,0,Cart Active,email,send_whatsapp,whatsapp,True
CUST_FA778FB9,20,0.238,52.0,10,Anonymous,whatsapp,wait,none,False
CUST_48BD7B88,40,0.358,52.0,10,Browsing,whatsapp,recommend_products,none,False
CUST_16ACD0C6,10,0.0,70.0,100,Churn Risk,whatsapp,do_nothing,none,False
CUST_37EB011F,40,0.358,52.0,10,Anonymous,push,wait,none,False
CUST_88F1E24C,10,0.034,61.0,55,Churn Risk,email,wait,none,False
CUST_C92AD391,100,0.693,77.0,10,Loyal,email,recommend_products,none,True
CUST_D95E4ED6,30,0.288,62.0,10,Interested,sms,send_whatsapp,whatsapp,False
CUST_A9E98AE2,60,0.478,52.0,10,Browsing,push,recommend_products,none,False
CUST_060BDD16,10,0.0,70.0,100,Churn Risk,push,do_nothing,none,False
CUST_D11AA116,30,0.288,62.0,10,Interested,whatsapp,send_whatsapp,whatsapp,False
CUST_CCAC32CA,35,0.318,62.0,10,Anonymous,email,send_whatsapp,whatsapp,False
CUST_AC9B2E3E,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_7F8ED2EF,40,0.358,52.0,10,Anonymous,sms,wait,none,False
CUST_A778788F,100,0.72,80.0,0,Interested,push,send_coupon,push,True
CUST_630EA12D,60,0.838,62.0,10,High Intent,push,send_email,email,True
CUST_844A74FA,100,0.72,80.0,0,Cart Active,sms,send_coupon,sms,True
CUST_5EA551EB,100,0.72,80.0,0,Interested,whatsapp,send_coupon,whatsapp,True
CUST_C7B4B9BD,40,0.358,52.0,10,Browsing,whatsapp,recommend_products,none,False
CUST_17A20F69,100,0.7,100.0,0,Interested,email,send_coupon,email,True
CUST_555700B4,10,0.0,70.0,100,Dormant,push,do_nothing,none,False
CUST_259657D3,10,0.0,70.0,100,Dormant,sms,do_nothing,none,False
CUST_64ECE7EE,10,0.0,70.0,100,Churn Risk,email,do_nothing,none,False
CUST_357B8D04,20,0.238,52.0,10,Browsing,email,recommend_products,none,False
CUST_D3C96A5E,100,0.72,80.0,0,Interested,push,send_email,email,True
CUST_DCF1FC29,20,0.238,52.0,10,Browsing,email,recommend_products,none,False
CUST_4E07FA68,80,0.61,70.0,0,Interested,whatsapp,send_coupon,whatsapp,True
CUST_6610877B,90,0.618,92.0,10,Cart Active,sms,do_nothing,none,False
CUST_CDE020CE,30,0.288,62.0,10,Cart Active,push,send_whatsapp,whatsapp,False
CUST_6633CBAE,100,0.7,100.0,0,Cart Active,sms,send_coupon,sms,True
CUST_2C34128B,10,0.0,70.0,100,Dormant,whatsapp,do_nothing,none,False
CUST_7A39BAA4,10,0.0,70.0,100,Dormant,push,do_nothing,none,False
CUST_AA3A1862,55,0.438,62.0,10,Browsing,push,send_whatsapp,whatsapp,False
