customer_id,intent_score,churn_risk,fatigue_score,product_views,cart_count,abandonments,cart_value,journey_stage,preferred_channel,active_hour,days_since_last_purchase,conversion_probability,converted
CUST_57C4461D,70,82.0,10,3,3,3,0.0,Cart Active,email,Evening,,0.508,False
CUST_3056D209,80,72.0,10,2,2,2,0.0,High Intent,whatsapp,Afternoon,87.0,0.578,True
CUST_4AABB6B4,100,47.0,10,7,4,1,0.0,High Intent,email,Evening,67.0,0.723,True
CUST_5064B994,100,100.0,10,5,5,5,0.0,High Intent,whatsapp,Evening,10.0,0.67,True
CUST_E4673420,20,52.0,10,2,0,0,0.0,Browsing,sms,Morning,,0.238,False
CUST_A055F6DB,80,72.0,10,2,2,2,0.0,High Intent,push,Afternoon,70.0,0.578,True
CUST_DA6228BE,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Afternoon,,0.0,False
CUST_DA8A6EA9,100,77.0,10,5,4,3,0.0,High Intent,whatsapp,Morning,49.0,0.693,True
CUST_B989B36C,90,72.0,10,10,2,2,0.0,Anonymous,email,Night,,0.638,False
CUST_D7A45459,20,52.0,10,2,0,0,0.0,Anonymous,push,Night,,0.238,False
CUST_412E9C77,70,82.0,10,3,3,3,0.0,Cart Active,push,Evening,,0.508,False
CUST_9026C7A6,100,82.0,10,3,3,3,0.0,Loyal,email,Afternoon,20.0,0.688,True
CUST_C8846AC3,30,52.0,10,4,0,0,0.0,Anonymous,whatsapp,Evening,,0.298,False
CUST_CE311944,65,47.0,10,2,1,0,0.0,Loyal,whatsapp,Night,96.0,0.513,True
CUST_2C0B530D,30,62.0,10,1,1,1,0.0,Cart Active,sms,Morning,,0.288,False
CUST_AA662E08,10,61.0,55,0,0,0,0.0,Dormant,whatsapp,Afternoon,,0.034,False
CUST_3917DAA1,65,47.0,10,2,1,0,0.0,High Intent,whatsapp,Evening,38.0,0.513,True
CUST_090EE7C3,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Morning,,0.0,False
CUST_538CA05B,100,80.0,0,3,3,3,0.0,Interested,whatsapp,Night,79.0,0.72,True
CUST_89658641,60,60.0,0,1,1,1,0.0,Interested,whatsapp,Night,98.0,0.5,True
CUST_49288ADE,65,47.0,10,2,1,0,0.0,High Intent,sms,Evening,31.0,0.513,True
CUST_949B7D14,10,61.0,55,0,0,0,0.0,Dormant,whatsapp,Afternoon,,0.034,False
CUST_FC28FE99,100,57.0,10,8,5,2,0.0,High Intent,sms,Afternoon,43.0,0.713,True
CUST_10D83418,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Afternoon,,0.0,False
CUST_6392D950,100,77.0,10,5,4,3,0.0,Loyal,whatsapp,Evening,31.0,0.693,True
CUST_03A41A1A,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Night,,0.0,False
CUST_8F04173D,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Evening,,0.0,False
CUST_19E10825,100,77.0,10,5,4,3,0.0,Loyal,email,Afternoon,59.0,0.693,True
CUST_B8B54386,75,62.0,10,10,1,1,0.0,Anonymous,email,Evening,,0.558,False
CUST_8AC845C7,10,61.0,55,0,0,0,0.0,Dormant,whatsapp,Evening,,0.034,False
CUST_05A18D97,10,70.0,100,0,0,0,0.0,Dormant,sms,Morning,,0.0,False
CUST_238050B7,75,62.0,10,10,1,1,0.0,Anonymous,email,Evening,,0.558,False
CUST_5FEE8FDB,70,82.0,10,3,3,3,0.0,Interested,whatsapp,Night,,0.508,False
CUST_F3D325DC,35,62.0,10,2,1,1,0.0,Browsing,email,Evening,,0.318,False
CUST_DD059926,55,62.0,10,6,1,1,0.0,Browsing,sms,Evening,,0.438,False
CUST_E3D4EBBE,100,72.0,10,7,5,3,0.0,High Intent,push,Morning,11.0,0.698,True
CUST_FDA7DE19,10,70.0,100,0,0,0,0.0,Churn Risk,push,Night,,0.0,False
CUST_9C916C23,100,57.0,10,8,5,2,0.0,Loyal,whatsapp,Afternoon,49.0,0.713,True
CUST_A28ED8B7,10,70.0,100,0,0,0,0.0,Dormant,email,Morning,,0.0,False
CUST_900983AF,45,62.0,10,4,1,1,0.0,Anonymous,email,Morning,,0.378,False
CUST_343B6A8E,100,67.0,10,4,3,2,0.0,Loyal,email,Afternoon,65.0,0.703,True
CUST_4E144664,85,57.0,10,3,2,1,0.0,Loyal,email,Morning,39.0,0.623,True
CUST_31BD9D1C,70,72.0,10,6,2,2,0.0,Anonymous,email,Morning,,0.518,False
CUST_6751D2C2,100,62.0,10,6,4,2,0.0,High Intent,whatsapp,Afternoon,68.0,0.708,True
CUST_C17B01C9,100,90.0,0,4,4,4,0.0,Interested,push,Evening,24.0,0.71,True
CUST_33417744,10,61.0,55,0,0,0,0.0,Dormant,sms,Night,,0.034,False
CUST_A4882A26,30,52.0,10,4,0,0,0.0,Browsing,whatsapp,Morning,,0.298,False
CUST_97CE52FE,100,72.0,10,7,5,3,0.0,High Intent,whatsapp,Morning,23.0,0.698,True
CUST_723D9DCA,90,42.0,10,4,2,0,0.0,High Intent,whatsapp,Morning,33.0,0.668,True
CUST_22F4550D,30,62.0,10,1,1,1,0.0,Cart Active,sms,Afternoon,,0.288,False
CUST_AC45C3AC,50,52.0,10,8,0,0,0.0,Browsing,whatsapp,Night,,0.418,False
CUST_9D82044A,10,70.0,100,0,0,0,0.0,Dormant,email,Night,,0.0,False
CUST_D78DFB60,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Morning,,0.0,False
CUST_E1941A92,55,62.0,10,6,1,1,0.0,Browsing,sms,Morning,,0.438,False
CUST_5F4302E5,100,90.0,0,4,4,4,0.0,Interested,sms,Night,39.0,0.71,True
CUST_B649101A,100,100.0,0,5,5,5,0.0,Interested,sms,Morning,65.0,0.7,True
CUST_6331FF0E,40,52.0,10,6,0,0,0.0,Anonymous,push,Morning,,0.358,False
CUST_587CCF42,50,72.0,10,2,2,2,0.0,Cart Active,whatsapp,Night,,0.398,False
CUST_71A33694,10,61.0,55,0,0,0,0.0,Dormant,push,Afternoon,,0.034,False
CUST_D638B75A,100,57.0,10,8,5,2,0.0,Loyal,sms,Morning,30.0,0.713,True
CUST_84AFDD9D,60,60.0,0,1,1,1,0.0,Interested,push,Afternoon,30.0,0.5,True
CUST_2E47009A,100,90.0,0,4,4,4,0.0,Interested,whatsapp,Evening,12.0,0.71,True
CUST_4B612D8F,100,67.0,10,4,3,2,0.0,Loyal,email,Evening,89.0,0.703,True
CUST_BE2277F0,90,92.0,10,4,4,4,0.0,Interested,sms,Night,,0.618,False
CUST_9069B465,100,80.0,0,3,3,3,0.0,Interested,sms,Night,64.0,0.72,True
CUST_98B23C4C,100,80.0,0,3,3,3,0.0,Cart Active,whatsapp,Evening,15.0,0.72,True
CUST_3B99A0E9,55,62.0,10,6,1,1,0.0,Anonymous,email,Morning,,0.438,False
CUST_C05261E1,10,70.0,100,0,0,0,0.0,Churn Risk,push,Evening,,0.0,False
CUST_81368C3D,100,90.0,0,4,4,4,0.0,Cart Active,email,Evening,75.0,0.71,True
CUST_C5157150,100,42.0,10,9,5,1,0.0,Loyal,push,Night,79.0,0.728,True
CUST_9EE0F949,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Night,,0.0,False
CUST_0C131128,100,62.0,10,6,4,2,0.0,High Intent,sms,Morning,85.0,0.708,True
CUST_19443392,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Evening,,0.0,False
CUST_4B8AC103,90,72.0,10,10,2,2,0.0,Anonymous,sms,Morning,,0.638,False
CUST_35397777,10,61.0,55,0,0,0,0.0,Dormant,sms,Evening,,0.034,False
CUST_64033C5A,20,52.0,10,2,0,0,0.0,Browsing,email,Night,,0.238,False
CUST_08231C37,80,72.0,10,2,2,2,0.0,Loyal,whatsapp,Morning,84.0,0.578,True
CUST_8CF33D3F,30,62.0,10,1,1,1,0.0,Interested,email,Night,,0.288,False
CUST_FEE1B459,100,87.0,10,6,5,4,0.0,Loyal,push,Morning,92.0,0.683,True
CUST_5FDCDBF4,10,70.0,100,0,0,0,0.0,Churn Risk,sms,Morning,,0.0,False
CUST_F51BBC07,90,92.0,10,4,4,4,0.0,Cart Active,email,Evening,,0.618,False
CUST_A8E1CF2E,30,62.0,10,1,1,1,0.0,Interested,push,Afternoon,,0.288,False
CUST_4A676D67,40,52.0,10,6,0,0,0.0,Browsing,email,Night,,0.358,False
CUST_15D8CF8B,100,67.0,10,4,3,2,0.0,High Intent,whatsapp,Night,89.0,0.703,True
CUST_061CE91D,80,72.0,10,2,2,2,0.0,High Intent,whatsapp,Evening,78.0,0.578,True
CUST_028DF181,100,100.0,0,5,5,5,0.0,Cart Active,whatsapp,Afternoon,91.0,0.7,True
CUST_E5EA6B2C,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Evening,,0.0,False
CUST_AA697B89,40,52.0,10,6,0,0,0.0,Browsing,email,Night,,0.358,False
CUST_D7A95C5D,10,70.0,100,0,0,0,0.0,Churn Risk,email,Afternoon,,0.0,False
CUST_8EFCCF3E,10,70.0,100,0,0,0,0.0,Dormant,push,Morning,,0.0,False
CUST_F1A59277,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Morning,,0.0,False
CUST_5E319C4D,100,72.0,10,7,5,3,0.0,High Intent,whatsapp,Evening,73.0,0.698,True
CUST_E259BC38,10,70.0,100,0,0,0,0.0,Churn Risk,sms,Night,,0.0,False
CUST_10DF13DD,50,72.0,10,2,2,2,0.0,Cart Active,whatsapp,Afternoon,,0.398,False
CUST_75F4F3CA,40,52.0,10,6,0,0,0.0,Browsing,sms,Night,,0.358,False
CUST_E4288431,75,62.0,10,10,1,1,0.0,Anonymous,whatsapp,Night,,0.558,False
CUST_67EE3FB6,10,70.0,100,0,0,0,0.0,Dormant,sms,Evening,,0.0,False
CUST_B23B0C5B,90,92.0,10,4,4,4,0.0,Cart Active,email,Night,,0.618,False
CUST_79684223,80,70.0,0,2,2,2,0.0,Interested,sms,Afternoon,28.0,0.61,True
CUST_D1A85883,50,72.0,10,2,2,2,0.0,Interested,sms,Night,,0.398,False
CUST_DE7BEBBA,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Night,,0.0,False
CUST_DECDBB22,100,52.0,10,5,3,1,0.0,High Intent,sms,Evening,56.0,0.718,True
CUST_CBC3BAEB,100,77.0,10,5,4,3,0.0,Loyal,whatsapp,Morning,82.0,0.693,True
CUST_B1384C12,100,80.0,0,3,3,3,0.0,Cart Active,whatsapp,Morning,4.0,0.72,True
CUST_1C71AE11,85,57.0,10,3,2,1,0.0,Loyal,email,Afternoon,93.0,0.623,True
CUST_3DDCEA6F,80,70.0,0,2,2,2,0.0,Interested,email,Night,39.0,0.61,True
CUST_48D454C1,85,57.0,10,3,2,1,0.0,High Intent,sms,Evening,38.0,0.623,True
CUST_FE3A26F2,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Night,,0.0,False
CUST_745D0AF1,90,92.0,10,4,4,4,0.0,Interested,email,Night,,0.618,False
CUST_8F618114,100,52.0,10,5,3,1,0.0,Loyal,sms,Night,57.0,0.718,True
CUST_AA76100A,65,62.0,10,8,1,1,0.0,Browsing,sms,Night,,0.498,False
CUST_996223F2,10,70.0,100,0,0,0,0.0,Churn Risk,email,Afternoon,,0.0,False
CUST_58915F08,60,62.0,10,1,1,1,0.0,High Intent,whatsapp,Afternoon,87.0,0.7326,True
CUST_4A6DBB54,80,70.0,0,2,2,2,0.0,Cart Active,sms,Morning,83.0,0.61,True
CUST_8740AB12,40,52.0,10,6,0,0,0.0,Browsing,sms,Night,,0.358,False
CUST_9DC5D903,60,62.0,10,1,1,1,0.0,Loyal,email,Morning,23.0,0.8533,True
CUST_2FA71D0D,40,52.0,10,6,0,0,0.0,Anonymous,whatsapp,Morning,,0.358,False
CUST_079E274E,30,52.0,10,4,0,0,0.0,Anonymous,whatsapp,Night,,0.298,False
CUST_7A4CA5C1,100,100.0,10,5,5,5,0.0,Interested,whatsapp,Night,,0.67,False
CUST_0C263DCF,10,61.0,55,0,0,0,0.0,Churn Risk,whatsapp,Morning,,0.034,False
CUST_DACF0911,10,61.0,55,0,0,0,0.0,Churn Risk,email,Evening,,0.034,False
CUST_38C943B9,50,52.0,10,8,0,0,0.0,Browsing,push,Night,,0.418,False
CUST_9CFE1314,100,52.0,10,5,3,1,0.0,Loyal,whatsapp,Evening,23.0,0.718,True
CUST_1A657E85,100,80.0,0,3,3,3,0.0,Cart Active,sms,Morning,42.0,0.72,True
CUST_DDA324D3,70,82.0,10,3,3,3,0.0,Interested,email,Night,,0.508,False
CUST_8C94F6C3,65,47.0,10,2,1,0,0.0,High Intent,whatsapp,Evening,66.0,0.513,True
CUST_CE3A6EF3,100,100.0,10,5,5,5,0.0,High Intent,whatsapp,Night,31.0,0.67,True
CUST_877C104A,100,80.0,0,3,3,3,0.0,Interested,email,Morning,68.0,0.72,True
CUST_7535DF38,100,90.0,0,4,4,4,0.0,Cart Active,email,Afternoon,57.0,0.71,True
CUST_ACCFCF3B,100,82.0,10,3,3,3,0.0,High Intent,push,Morning,50.0,0.688,True
CUST_790591B1,20,52.0,10,2,0,0,0.0,Anonymous,push,Afternoon,,0.238,False
CUST_CC2CEE0A,60,62.0,10,1,1,1,0.0,Loyal,whatsapp,Evening,61.0,0.6217,True
CUST_7E8D349A,50,52.0,10,8,0,0,0.0,Anonymous,email,Morning,,0.418,False
CUST_1EF11355,10,70.0,100,0,0,0,0.0,Churn Risk,email,Morning,,0.0,False
CUST_6E7D7A10,20,52.0,10,2,0,0,0.0,Browsing,whatsapp,Morning,,0.238,False
CUST_EB2B5B57,50,52.0,10,8,0,0,0.0,Anonymous,push,Afternoon,,0.418,False
CUST_8E0667CE,10,70.0,100,0,0,0,0.0,Churn Risk,email,Afternoon,,0.0,False
CUST_50D1ADC1,55,62.0,10,6,1,1,0.0,Anonymous,whatsapp,Evening,,0.438,False
CUST_5D420B03,30,62.0,10,1,1,1,0.0,Interested,whatsapp,Evening,,0.288,False
CUST_DE2C207D,100,77.0,10,5,4,3,0.0,Loyal,whatsapp,Night,25.0,0.693,True
CUST_1749A777,100,80.0,0,3,3,3,0.0,Interested,sms,Morning,91.0,0.72,True
CUST_04D43A98,40,52.0,10,6,0,0,0.0,Browsing,whatsapp,Afternoon,,0.358,False
CUST_F5917397,100,100.0,0,5,5,5,0.0,Cart Active,email,Morning,52.0,0.7,True
CUST_A46C2B22,10,70.0,100,0,0,0,0.0,Dormant,email,Afternoon,,0.0,False
CUST_EB553367,80,72.0,10,2,2,2,0.0,Loyal,sms,Afternoon,60.0,0.578,True
CUST_66BD2CF3,10,61.0,55,0,0,0,0.0,Dormant,whatsapp,Morning,,0.034,False
CUST_53636173,100,100.0,0,5,5,5,0.0,Interested,whatsapp,Morning,11.0,0.7,True
CUST_3B00B30E,10,70.0,100,0,0,0,0.0,Churn Risk,email,Night,,0.0,False
CUST_45E3E33F,100,77.0,10,5,4,3,0.0,Loyal,push,Afternoon,88.0,0.693,True
CUST_926AA93D,50,52.0,10,8,0,0,0.0,Anonymous,sms,Night,,0.418,False
CUST_3298FAEB,30,62.0,10,1,1,1,0.0,Interested,sms,Afternoon,,0.288,False
CUST_EFC2D016,10,70.0,100,0,0,0,0.0,Dormant,push,Night,,0.0,False
CUST_09AE2702,75,62.0,10,10,1,1,0.0,Browsing,whatsapp,Afternoon,,0.558,False
CUST_0518E45B,45,62.0,10,4,1,1,0.0,Browsing,email,Morning,,0.378,False
CUST_705791DA,85,57.0,10,3,2,1,0.0,High Intent,sms,Afternoon,19.0,0.623,True
CUST_8B1D85C9,30,62.0,10,1,1,1,0.0,Interested,sms,Afternoon,,0.288,False
CUST_5FF49FA1,100,47.0,10,7,4,1,0.0,High Intent,push,Afternoon,65.0,0.723,True
CUST_615278FE,10,61.0,55,0,0,0,0.0,Churn Risk,whatsapp,Evening,,0.034,False
CUST_4FBCBBCA,100,80.0,0,3,3,3,0.0,Cart Active,email,Morning,72.0,0.72,True
CUST_DA88C386,10,61.0,55,0,0,0,0.0,Churn Risk,push,Night,,0.034,False
CUST_E9162E8B,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Morning,,0.0,False
CUST_101DB21C,30,52.0,10,4,0,0,0.0,Browsing,whatsapp,Night,,0.298,False
CUST_EA2F4359,100,52.0,10,5,3,1,0.0,Loyal,email,Evening,96.0,0.718,True
CUST_A0578F65,50,52.0,10,8,0,0,0.0,Browsing,email,Afternoon,,0.418,False
CUST_DEA41107,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Morning,,0.0,False
CUST_AE5D913C,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Night,,0.0,False
CUST_38E8F4D6,75,62.0,10,10,1,1,0.0,Anonymous,email,Afternoon,,0.558,False
CUST_1FA0B7DE,10,61.0,55,0,0,0,0.0,Dormant,whatsapp,Afternoon,,0.034,False
CUST_3B22D7B6,75,62.0,10,10,1,1,0.0,Anonymous,sms,Evening,,0.558,False
CUST_6B7F538D,10,70.0,100,0,0,0,0.0,Churn Risk,email,Afternoon,,0.0,False
CUST_47B5FAF8,100,80.0,0,3,3,3,0.0,Interested,sms,Afternoon,18.0,0.72,True
CUST_3B77AE1A,30,62.0,10,1,1,1,0.0,Cart Active,email,Afternoon,,0.288,False
CUST_DDAA8F46,10,61.0,55,0,0,0,0.0,Dormant,push,Morning,,0.034,False
CUST_4B8AA7C9,100,67.0,10,4,3,2,0.0,High Intent,whatsapp,Afternoon,3.0,0.703,True
CUST_B4909F1A,10,70.0,100,0,0,0,0.0,Churn Risk,sms,Night,,0.0,False
CUST_AAC06769,50,52.0,10,8,0,0,0.0,Anonymous,push,Night,,0.418,False
CUST_BC3F55D5,65,62.0,10,8,1,1,0.0,Browsing,email,Afternoon,,0.498,False
CUST_19D5B925,50,52.0,10,8,0,0,0.0,Anonymous,whatsapp,Evening,,0.418,False
CUST_F2902C84,10,70.0,100,0,0,0,0.0,Dormant,email,Morning,,0.0,False
CUST_BCEFD4B6,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Evening,,0.0,False
CUST_EB6FCAAE,85,57.0,10,3,2,1,0.0,High Intent,sms,Night,78.0,0.623,True
CUST_C967E53B,10,70.0,100,0,0,0,0.0,Dormant,email,Night,,0.0,False
CUST_40FB09E6,100,72.0,10,7,5,3,0.0,Loyal,email,Afternoon,13.0,0.698,True
CUST_05F012AB,40,52.0,10,6,0,0,0.0,Browsing,sms,Evening,,0.358,False
CUST_62EB54DD,60,52.0,10,10,0,0,0.0,Anonymous,email,Evening,,0.478,False
CUST_17E45CFF,100,82.0,10,10,3,3,0.0,Browsing,whatsapp,Morning,,0.688,False
CUST_85984E7D,55,62.0,10,6,1,1,0.0,Browsing,whatsapp,Night,,0.438,False
CUST_CA4E5197,80,70.0,0,2,2,2,0.0,Cart Active,email,Morning,32.0,0.61,True
CUST_A56D509F,30,52.0,10,4,0,0,0.0,Anonymous,whatsapp,Night,,0.298,False
CUST_34876524,10,61.0,55,0,0,0,0.0,Churn Risk,sms,Morning,,0.034,False
CUST_529191E2,60,62.0,10,1,1,1,0.0,Loyal,email,Night,8.0,0.7214,True
CUST_24B0315E,100,67.0,10,4,3,2,0.0,High Intent,push,Morning,94.0,0.703,True
CUST_6EBB7C65,65,47.0,10,2,1,0,0.0,High Intent,whatsapp,Morning,26.0,0.513,True
CUST_4B34FA4C,75,62.0,10,10,1,1,0.0,Browsing,sms,Morning,,0.558,False
CUST_CCF4473E,10,70.0,100,0,0,0,0.0,Dormant,push,Night,,0.0,False
CUST_66704680,100,80.0,0,3,3,3,0.0,Interested,push,Morning,72.0,0.72,True
CUST_9F5AF1B4,55,62.0,10,6,1,1,0.0,Anonymous,email,Morning,,0.438,False
CUST_B6BFC136,30,52.0,10,4,0,0,0.0,Anonymous,email,Night,,0.298,False
CUST_3D58EB70,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Night,,0.0,False
CUST_E2391426,100,57.0,10,8,5,2,0.0,High Intent,sms,Morning,82.0,0.713,True
CUST_FF48FB57,100,72.0,10,7,5,3,0.0,High Intent,email,Afternoon,67.0,0.698,True
CUST_0D5966DB,10,70.0,100,0,0,0,0.0,Dormant,whatsapp,Night,,0.0,False
CUST_C5943693,70,82.0,10,3,3,3,0.0,Interested,whatsapp,Evening,,0.508,False
CUST_5E4E88D4,100,100.0,0,5,5,5,0.0,Interested,push,Night,10.0,0.7,True
CUST_63DB733C,10,70.0,100,0,0,0,0.0,Dormant,sms,Afternoon,,0.0,False
CUST_85D20005,20,52.0,10,2,0,0,0.0,Browsing,email,Morning,,0.238,False
CUST_A95EB599,50,72.0,10,2,2,2,0.0,Cart Active,email,Morning,,0.398,False
CUST_D380949A,45,62.0,10,4,1,1,0.0,Anonymous,push,Afternoon,,0.378,False
CUST_12C6D82F,100,100.0,0,5,5,5,0.0,Cart Active,push,Night,63.0,0.7,True
CUST_F617AAB8,100,87.0,10,6,5,4,0.0,Loyal,sms,Morning,65.0,0.683,True
CUST_EACDCB8F,100,57.0,10,8,5,2,0.0,Loyal,push,Evening,10.0,0.713,True
CUST_3E4E7988,70,82.0,10,3,3,3,0.0,Cart Active,push,Night,,0.508,False
CUST_F1B72375,30,62.0,10,1,1,1,0.0,Interested,push,Night,,0.288,False
CUST_4456FF3A,65,62.0,10,8,1,1,0.0,Anonymous,whatsapp,Night,,0.498,False
CUST_3EEB5BD5,30,62.0,10,1,1,1,0.0,Cart Active,whatsapp,Night,,0.288,False
CUST_68AD3E36,10,70.0,100,0,0,0,0.0,Churn Risk,sms,Evening,,0.0,False
CUST_D6AD16EF,100,100.0,0,5,5,5,0.0,Cart Active,whatsapp,Morning,41.0,0.7,True
CUST_08C4C971,50,52.0,10,8,0,0,0.0,Anonymous,email,Evening,,0.418,False
CUST_008A2B5A,30,52.0,10,4,0,0,0.0,Anonymous,push,Night,,0.298,False
CUST_AFA1A280,10,70.0,100,0,0,0,0.0,Dormant,email,Afternoon,,0.0,False
CUST_347B3E0F,100,80.0,0,3,3,3,0.0,Interested,sms,Night,18.0,0.72,True
CUST_CAAAF0E2,100,90.0,0,4,4,4,0.0,Cart Active,whatsapp,Afternoon,95.0,0.71,True
CUST_FCB4B49A,10,70.0,100,0,0,0,0.0,Dormant,sms,Night,,0.0,False
CUST_D86EB996,10,70.0,100,0,0,0,0.0,Dormant,push,Morning,,0.0,False
CUST_E21A7769,85,57.0,10,3,2,1,0.0,High Intent,push,Night,12.0,0.623,True
CUST_2810A1B5,100,72.0,10,7,5,3,0.0,Loyal,email,Evening,30.0,0.698,True
CUST_C8BBBA8B,60,62.0,10,1,1,1,0.0,Loyal,whatsapp,Afternoon,36.0,0.7271,True
CUST_E110222E,10,61.0,55,0,0,0,0.0,Churn Risk,email,Afternoon,,0.034,False
CUST_960A76FC,100,82.0,10,3,3,3,0.0,High Intent,push,Night,21.0,0.688,True
CUST_8ED17183,35,62.0,10,2,1,1,0.0,Browsing,whatsapp,Evening,,0.318,False
CUST_BB95004D,30,62.0,10,1,1,1,0.0,Interested,sms,Night,,0.288,False
CUST_D8BE749D,60,62.0,10,1,1,1,0.0,High Intent,whatsapp,Night,3.0,0.854,True
CUST_6CB57608,65,62.0,10,8,1,1,0.0,Anonymous,sms,Night,,0.498,False
CUST_26E1B0EB,10,61.0,55,0,0,0,0.0,Dormant,whatsapp,Afternoon,,0.034,False
CUST_8C56898E,65,47.0,10,2,1,0,0.0,Loyal,whatsapp,Evening,61.0,0.513,True
CUST_694440B5,10,70.0,100,0,0,0,0.0,Dormant,email,Evening,,0.0,False
CUST_F8C7266D,10,70.0,100,0,0,0,0.0,Churn Risk,whatsapp,Evening,,0.0,False
